형태소,품사,분류,카운트,상대빈도,시각화용,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,2,,K K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,2,,K K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
K,Alpha,교촌 전,1,,K ,,,
KAGE,Alpha,교촌 전,1,,KAGE ,,,
KANG,Alpha,교촌 전,1,,KANG ,,,
KBS,Alpha,교촌 전,2,,KBS KBS ,,,
KBS,Alpha,교촌 전,1,,KBS ,,,
KD,Alpha,교촌 전,1,,KD ,,,
KFC,Alpha,교촌 전,1,,KFC ,,,
KFC,Alpha,교촌 전,1,,KFC ,,,
KIM,Alpha,교촌 전,1,,KIM ,,,
KIM,Alpha,교촌 전,1,,KIM ,,,
KJ,Alpha,교촌 전,1,,KJ ,,,
KOREA,Alpha,교촌 전,1,,KOREA ,,,
Kane,Alpha,교촌 전,1,,Kane ,,,
Kanehara,Alpha,교촌 전,1,,Kanehara ,,,
Kang,Alpha,교촌 전,1,,Kang ,,,
Kevin,Alpha,교촌 전,1,,Kevin ,,,
Kevin,Alpha,교촌 전,1,,Kevin ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,2,,Kim Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
